image_id,image_path,species_name,venom_type,symptoms,reaction_stage,severity_level,first_aid,label_id,hospital_importance
img_024,C:\Users\Purva\snakebite_project\data\images\emralnd_boas_snakebite\emralnd-boas-bite1.png,Corallus caninus,non-venomous,"Bite causes puncture wounds, minor bleeding, local swelling. Large individuals can constrict, causing bruises or suffocation risk if around neck/chest.","Puncture wounds, mild local swelling; constriction behavior (non-venom)",Mild,"Clean wound, apply antiseptic, monitor for infection",24,✅ Visit if deep wound or infection
img_025,C:\Users\Purva\snakebite_project\data\images\eyelash_vipers_snakebite\Eyelash-vipers-bite1.png,Bothriechis schlegelii,mix of hemotoxins and neurotoxins,"Severe pain, swelling, and bleeding with possible tissue damage.","Severe pain, bleeding, blistering",Severe,"Keep calm, immobilize limb",25,🚨 Emergency hospital care
img_026,C:\Users\Purva\snakebite_project\data\images\green_cateye_snakebite\green-cateye-snake-bite1.png,Boiga cyanea,rear fangs(hemotoxic properties),Mildly venomous (rear-fanged),Local swelling,Mild,Clean wound,26,Visit hospital if allergic reaction
img_027,C:\Users\Purva\snakebite_project\data\images\green_rat_snakebite\green_rat_snake.jpg,Ptyas nigromarginata,non-venomous,Non-venoumous,Minor local pain or bleeding; rarely systemic signs,Mild,"Clean wound, apply antiseptic, observe",27,Optional — visit if symptoms worsen
img_028,C:\Users\Purva\snakebite_project\data\images\grey_cat_snakebite\Grey-cat-snake-bite1.png,Boiga siamensis,mildly venomous,Mildly venomous (rear-fanged),"Local pain, mild swelling; rare mild systemic effects",Moderate,"Clean wound, immobilize limb, monitor for spreading swelling",28,👍 Strongly advised if swelling spreads or systemic signs
img_029,C:\Users\Purva\snakebite_project\data\images\grey_cat_snakebite\Grey-cat-snake-bite2.png,Boiga Siamensis,mildly venomous,Mildly venomous (rear-fanged),"Local pain, mild swelling; rare mild systemic effects",Moderate,"Clean wound, immobilize limb, monitor for spreading swelling",29,👍 Strongly advised if swelling spreads or systemic signs
img_030,C:\Users\Purva\snakebite_project\data\images\hog_island_boa_snakebite\hog-island-boa-bite.png,Boa imperator,non-venomous,can cause bruises or suffocation,"Puncture wounds, bruising; no envenomation",Mild,"Clean, antiseptic, watch for infection",30,Optional — only if deep/complicated wound
img_031,C:\Users\Purva\snakebite_project\data\images\indian_cobra_snakebite\Indian-cobra-bite2.png,Naja naja,"neurotoxin, cardiotoxins","Local pain, swelling, drooping eyelids, blurred vision, difficulty speaking/swallowing/breathing, paralysis, respiratory failure if untreated.","Paralysis, drooping eyelids",Severe,"Keep still, avoid pressure, no tourniquet",31,🚨 Immediate hospital (antivenom critical)
img_032,C:\Users\Purva\snakebite_project\data\images\indian_egg_easter's_snakebite\Indian-egg-easter's-bite1.png,Elachistodon westermanni,non-venomous,Non-venoumous,Small superficial punctures; minimal swelling,Mild,"Clean wound, antiseptic, observe",32,Optional — visit if infection or allergy
img_033,C:\Users\Purva\snakebite_project\data\images\jamaican_boas_snakebite\jamaican-boas-bite.png,Epicrates subflavus,non-venomous,Non-venoumous,"Puncture wounds, mild swelling; low systemic risk",Mild,"Clean, antiseptic, monitor",33,Optional — visit if swelling/infection
img_034,C:\Users\Purva\snakebite_project\data\images\javan_spitting_cobra_snakebite\javan-spitting-cobra-bite.png,Naja sputatrix," 3FTXs(short neurotoxins, phospholipase A2 enzymes) ","Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.",Little local pain; progressive neuro signs possible,Severe,"Keep still, airway monitoring, avoid ingestion of anything",34,🚨 Immediate hospital for antivenom & respiratory support
img_035,C:\Users\Purva\snakebite_project\data\images\king_cobra_snakebite\king-cobra-bite1.png,Ophiophagus hannah,"3FTx, SVMPs","Severe pain, dizziness, blurred vision, paralysis, drowsiness, potential cardiac/respiratory arrest.","Rapid paralysis, drowsiness",Fatal/ Very severe,"Keep still, monitor airway, CPR if needed",35,🚨 Immediate — antivenom & intensive care vital
img_036,C:\Users\Purva\snakebite_project\data\images\krait_snakebite\krait_bite1.jpg,Bungarus caeruleus,neurotoxic venom (B-bungarotoxin),"Little or no pain/swelling initially, but within hours: abdominal pain, paralysis, drooping eyelids, inability to speak/breathe, coma if untreated","No pain, later paralysis",Fatal,"Keep still, monitor breathing",36,🚨 Critical emergency
img_037,C:\Users\Purva\snakebite_project\data\images\Madagascar_tree_boa_snakebite\Madagascar-tree-boa-bite1.png,Sanzinia madagascariensis,non-venomous,can cause bruises or suffocation,"Puncture wounds, local swelling; no venom effects",Mild,"Clean wound, antiseptic, observe",37,Optional — seek care if infection
img_038,C:\Users\Purva\snakebite_project\data\images\malayan_blue_coral_snakebite\Malayan-blue-coral-snake-bite1.png,calliophis bivirgata,"phospholipase A2, cytotoxin, SVMPs, vespryns","Immediate pain, muscle rigidity, spasms, respiratory paralysis, cardiac arrest (fast-acting venom).","Muscle spasms, paralysis",Fatal,"Keep still, CPR if breathing stops",38,🚨 Immediate antivenom
img_039,C:\Users\Purva\snakebite_project\data\images\monocled_cobra_snakebite\Monocled-cobra-bite1.jpg,Naja kaouthia,neurotoxins and cytotoxins venom,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local swelling; progressive neuro signs (ptosis, dysphagia)",Severe,"Keep calm, monitor breathing, immobilize limb",39,🚨 Immediate antivenom & respiratory support
img_040,C:\Users\Purva\snakebite_project\data\images\monocled_cobra_snakebite\Monocled-cobra-bite2.png,Naja kaouthia,neurotoxins and cytotoxins venom,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local swelling; progressive neuro signs (ptosis, dysphagia)",Severe,"Keep calm, monitor breathing, immobilize limb",40,🚨 Immediate antivenom & respiratory support
img_041,C:\Users\Purva\snakebite_project\data\images\mozombique_cobra_snakebite\Mozambique-cobra-bite1.png,Naja mosambica,cytotoxins and neurotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Little local pain; early neuro signs, possible tissue necrosis in some cases",Severe,"Keep still, monitor airway, avoid tourniquet",41,🚨 Immediate hospital — antivenom
img_042,C:\Users\Purva\snakebite_project\data\images\nubuan_spitting_cobra_snakebite\Nubuan-spitting-cobra-bite1.png,Naja nubiae,neurotoxins and cytotoxins venom,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.",Minimal local effects; systemic neurotoxicity (paralysis),Severe,"Keep patient calm, airway ready",42,🚨 Urgent antivenom and respiratory support
img_043,C:\Users\Purva\snakebite_project\data\images\ornate_flying_snakebite\Ornate-flying-snake-bite1.png,Chrysopelea ornata,rear-fanged,Mild rear-fanged venom,Small punctures; mild local irritation or numbness,Mild,"Clean wound, antiseptic, observe",43,Optional — seek care if allergic reaction
img_044,C:\Users\Purva\snakebite_project\data\images\python_snakebite\Python-bite1.jpg,Python,non-venomous,Bite can cause bruises or suffocation,Puncture marks only,Mild,"Wash wound, apply antiseptic",44,✅ Visit hospital only if bleeding is heavy or wound is deep/infected
img_045,C:\Users\Purva\snakebite_project\data\images\python_snakebite\Python-bite2.jpg,Python,non-venomous,Bite can cause bruises or suffocation,Puncture marks only,Mild,"Wash wound, apply antiseptic",45,✅ Visit hospital only if bleeding is heavy or wound is deep/infected
img_046,C:\Users\Purva\snakebite_project\data\images\rainbow_boa_snakebite\Rainbow-boa-snakebite1.png,Epicrates cenchria,non-venomous,Bite can cause bruises or suffocation,"Bite punctures, localized swelling/bruising; no systemic envenoming",Mild,"Clean, antiseptic, monitor",46,Optional — visit if signs of infection
img_047,C:\Users\Purva\snakebite_project\data\images\rat_snakebite\rat_snake1.jpg,Colubridae,non-venomous,Most are non-venomous,"Most: minor local pain, possible mild swelling",Mild,"Clean wound, antiseptic, observe for allergy",47,Optional — hospital if systemic signs or severe swelling
img_048,C:\Users\Purva\snakebite_project\data\images\red_bellied_black_snakebite\Red-bellied-black-snake-bite1.png,pseudechis porphyriacus,myotoxic and neurotoxic venom,"Local pain, headache, nausea, sweating, muscle damage, mild paralysis possible.","Local pain, headache, nausea; possible muscle pain and systemic upset",Moderate to Severe,"Keep still, monitor vitals, do not cut/suck",48,🏥 Seek hospital — antivenom may be required
img_049,C:\Users\Purva\snakebite_project\data\images\red_boa_snakebite\red-boa-snake-bite1.png,Boa constrictor,non-venomous,Bite can cause bruises or suffocation,"Puncture wounds, bruising",Mild,"Clean, apply antiseptic",49,Not necessary unless infected
img_050,C:\Users\Purva\snakebite_project\data\images\rena_dulcis_snakebite\Rena-dulcis-bite1.png,Leptotyphlops dulcis,non-venomous,Harmless,Too small to penetrate skin effectively; negligible signs,None/ Negligible,No treatment needed; clean if any abrasion,50,No treatment needed; clean if any abrasion
img_051,C:\Users\Purva\snakebite_project\data\images\rubber_boa_snakebite\Rubber-boa-snake-bite1.png,Charina bottae,non-venomous,Non-venoumous,"Superficial bite, mild pain if any",Mild,"Clean wound, antiseptic, observe",51,"Clean wound, antiseptic, observe"
img_052,C:\Users\Purva\snakebite_project\data\images\rufous_beaked_snakebite\Rufous-beaked-snake-bite1.png,Rhamphiophis oxyrhynchus,neurotoxic and hemorrhagic venom,Mild rear-fanged venom,"Local irritation, mild swelling; rarely wider effects",Mild to Moderate,"Clean, immobilize limb, observe for worsening",52,"Clean, immobilize limb, observe for worsening"
img_053,C:\Users\Purva\snakebite_project\data\images\Russell's_viper_snakebite\russell's_viper-bite1.webp,Daboia russelii,hemotoxins and nephrotoxins venom,"Extreme pain, swelling, blistering, internal bleeding, low blood pressure, kidney failure, coagulopathy","Swelling, internal bleeding",Fatal,"Lay flat, calm, no pressure",53,🚨 Immediate hospital
img_054,C:\Users\Purva\snakebite_project\data\images\Russell's_viper_snakebite\Russells-viper-bite2.jpg,Daboia russelii,hemotoxins and nephrotoxins venom,"Extreme pain, swelling, blistering, internal bleeding, low blood pressure, kidney failure, coagulopathy","Swelling, internal bleeding",Fatal,"Lay flat, calm, no pressure",54,🚨 Immediate hospital
img_055,C:\Users\Purva\snakebite_project\data\images\Russell's_viper_snakebite\Russells-viper-bite3.jpg,Daboia russelii,hemotoxins and nephrotoxins venom,"Extreme pain, swelling, blistering, internal bleeding, low blood pressure, kidney failure, coagulopathy","Swelling, internal bleeding",Fatal,"Lay flat, calm, no pressure",55,🚨 Immediate hospital
img_056,C:\Users\Purva\snakebite_project\data\images\Russell's_viper_snakebite\Russells-viper-bite4.jpg,Daboia russelii,hemotoxins and nephrotoxins venom,"Extreme pain, swelling, blistering, internal bleeding, low blood pressure, kidney failure, coagulopathy","Swelling, internal bleeding",Fatal,"Lay flat, calm, no pressure",56,🚨 Immediate hospital
img_057,C:\Users\Purva\snakebite_project\data\images\sand_boa_snakebite\Sand-boa-snake-bite1.png,Eryx,non-venomous,Non-venoumous,"Superficial punctures, local swelling",Mild,"Clean, antiseptic, observe",57,Optional
img_058,C:\Users\Purva\snakebite_project\data\images\tawny_cat_snakebite\Tawny-cat-snake-bite1.png,Boiga ochracea,mildly venomous,Mildly venomous (rear-fanged),"Local pain, mild swelling; rare mild systemic signs",Mild to Moderate,"Clean wound, immobilize, monitor",58,Visit if swelling or systemic signs appear
img_059,C:\Users\Purva\snakebite_project\data\images\texas_coral_snakebite\Texas-coral-snake-bite1.png,Micrurus tener,neurotoxin and myotoxin venom,"Mild local pain, then delayed paralysis, slurred speech, respiratory failure in severe cases",Little local pain; delayed neuro paralysis (hours),Severe/ Potentially fatal,"Keep still, monitor breathing, do NOT use tourniquet",59,🚨 Immediate hospital — antivenom & respiratory support
img_060,C:\Users\Purva\snakebite_project\data\images\western_blind_snakebite\western-blind-snake-bite1.png,Rena humilis,non-venomous,Harmless,Too small for effective bite; negligible signs,None/ Negligible,No treatment generally,60,Not required
img_061,C:\Users\Purva\snakebite_project\data\images\yellow_cobra_snakebite\yellow-cobra-snake-bite1.png,Cape cobra,neurotoxic venom,Rapid paralysis and breathing difficulty with little or no local swelling.,"Paralysis, breathing failure",Fatal,"Keep still, monitor breathing",61,🏥 Immediate emergency care
img_062,C:\Users\Purva\snakebite_project\data\images\arthropod_bite\arthropod_bite_blister.jpg,"Various Insects (e.g, Mosquitoes, Fleas, Bed Bugs)","Saliva (proteins, anticoagulants)","Itchy, red, raised bump(wheal). Sometimes a blister",Immediate → 1–48 hour,Low (local irritation); Worst: allergic/local infection,"Clean with soap & water, cold compress, oral antihistamine for itch, monitor for spread/infection",62,visit hospital if infection or spreading rash
img_063,C:\Users\Purva\snakebite_project\data\images\arthropod_bite\arthropod_bite1.jpg,"Various Insects (e.g, Mosquitoes, Fleas, Bed Bugs)","Saliva (proteins, anticoagulants)","Itchy, red, raised bump(wheal). Sometimes a blister",Immediate → 1–48 hour,Low (local irritation); Worst: allergic/local infection,"Clean with soap & water, cold compress, oral antihistamine for itch, monitor for spread/infection",63,visit hospital if infection or spreading rash
img_064,C:\Users\Purva\snakebite_project\data\images\arthropod_bite\arthropod_bite2.jpg,"Various Insects (e.g, Mosquitoes, Fleas, Bed Bugs)","Saliva (proteins, anticoagulants)","Itchy, red, raised bump(wheal). Sometimes a blister",Immediate → 1–48 hour,Low (local irritation); Worst: allergic/local infection,"Clean with soap & water, cold compress, oral antihistamine for itch, monitor for spread/infection",64,visit hospital if infection or spreading rash
img_065,C:\Users\Purva\snakebite_project\data\images\arthropod_bite\arthropod_bite3.jpg,"Various Insects (e.g, Mosquitoes, Fleas, Bed Bugs)","Saliva (proteins, anticoagulants)","Itchy, red, raised bump(wheal). Sometimes a blister",Immediate → 1–48 hour,Low (local irritation); Worst: allergic/local infection,"Clean with soap & water, cold compress, oral antihistamine for itch, monitor for spread/infection",65,visit hospital if infection or spreading rash
img_066,C:\Users\Purva\snakebite_project\data\images\arthropod_bite\arthropod_bite4.jpg,"Various Insects (e.g, Mosquitoes, Fleas, Bed Bugs)","Saliva (proteins, anticoagulants)","Itchy, red, raised bump(wheal). Sometimes a blister",Immediate → 1–48 hour,Low (local irritation); Worst: allergic/local infection,"Clean with soap & water, cold compress, oral antihistamine for itch, monitor for spread/infection",66,visit hospital if infection or spreading rash
img_067,C:\Users\Purva\snakebite_project\data\images\arthropod_bite\arthropod_bite5.jpg,"Various Insects (e.g, Mosquitoes, Fleas, Bed Bugs)","Saliva (proteins, anticoagulants)","Itchy, red, raised bump(wheal). Sometimes a blister",Immediate → 1–48 hour,Low (local irritation); Worst: allergic/local infection,"Clean with soap & water, cold compress, oral antihistamine for itch, monitor for spread/infection",67,visit hospital if infection or spreading rash
img_068,C:\Users\Purva\snakebite_project\data\images\arthropod_bite\arthropod_bite6.jpg,"Various Insects (e.g, Mosquitoes, Fleas, Bed Bugs)","Saliva (proteins, anticoagulants)","Itchy, red, raised bump(wheal). Sometimes a blister",Immediate → 1–48 hour,Low (local irritation); Worst: allergic/local infection,"Clean with soap & water, cold compress, oral antihistamine for itch, monitor for spread/infection",68,visit hospital if infection or spreading rash
img_069,C:\Users\Purva\snakebite_project\data\images\arthropod_bite\arthropod_bite7.jpg,"Various Insects (e.g, Mosquitoes, Fleas, Bed Bugs)","Saliva (proteins, anticoagulants)","Itchy, red, raised bump(wheal). Sometimes a blister",Immediate → 1–48 hour,Low (local irritation); Worst: allergic/local infection,"Clean with soap & water, cold compress, oral antihistamine for itch, monitor for spread/infection",69,visit hospital if infection or spreading rash
img_070,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting_eye1.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",70,Seek hospital — stings near eyes or face can swell dangerously
img_071,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting_eye2.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",71,Seek hospital — stings near eyes or face can swell dangerously
img_072,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting_eye5.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",72,Seek hospital — stings near eyes or face can swell dangerously
img_073,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting_lips1.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",73,Seek hospital — stings near eyes or face can swell dangerously
img_074,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_sting_reaction.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",74,Seek hospital — stings near eyes or face can swell dangerously
img_075,C:\Users\Purva\snakebite_project\data\images\bee_sting\Bee_Sting.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",75,Seek hospital — airway
img_076,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting2.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",76,Seek hospital — airway
img_077,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting3.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",77,Seek hospital — airway
img_078,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting4.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",78,Seek hospital — airway
